ID,页面名称,角色,页面类型,描述,备注,html_filename
A1,BV共赢计划首页,全角色,主页面,角色入口,,a1_bv_home.html
B1,担保人首页,担保人,主页面,担保人主页面,,b1_guarantor_home.html
B2,申请成为担保人页,担保人,表单页,担保人申请表单,,b2_guarantor_apply.html
B2-1,申请担保人成功确认弹窗,担保人,弹窗,确认提示,,b2-1_guarantor_apply_success.html
B3,我的团队长列表页（担保人）,担保人,列表页,团队长列表,,b3_guarantor_leader_list.html
B4,团队长详情页（担保人视角）,担保人,详情页,团队长详情,,b4_guarantor_leader_detail.html
B5,团队长申请审核列表页,担保人,列表页,团队长审核列表,,b5_guarantor_leader_review_list.html
B5-1,团队长申请审核详情页,担保人,表单页,审核详情,,b5-1_guarantor_leader_review_detail.html
B6,新东家申请代打赏记录列表页（担保人）,担保人,列表页,代打赏记录,,b6_guarantor_owner_reward_list.html
C1,团队长首页,团队长,主页面,团队长主页面,,c1_leader_home.html
C2,申请团队长,团队长,表单页,团队长申请页,,c2_leader_apply.html
C2-1,团队长申请提交成功弹窗,团队长,弹窗,成功提示,,c2-1_leader_apply_success.html
C3,我的担保人列表页（团队长）,团队长,列表页,担保人列表,,c3_leader_guarantor_list.html
C4,我的新东家列表页（团队长）,团队长,列表页,新东家列表,,c4_leader_owner_list.html
C5,新东家详情页（团队长视角）,团队长,详情页,新东家详情,,c5_leader_owner_detail.html
C6,新东家申请代打赏记录列表页（团队长）,团队长,列表页,记录列表,,c6_leader_owner_reward_list.html
C6-1,新东家代打赏记录详情页（团队长）,团队长,详情页,记录详情,,c6-1_leader_owner_reward_detail.html
C7,红包入口页（团队长）,团队长,功能页,红包入口,,c7_leader_redpacket_home.html
C7-1,红包观看广告页,团队长,功能页,广告领取,,c7-1_leader_redpacket_ad.html
C7-2,领取红包成功提示页,团队长,弹窗,成功提示,,c7-2_leader_redpacket_success.html
C7-3,红包记录列表页,团队长,列表页,红包历史,,c7-3_leader_redpacket_history.html
D1,新东家首页,新东家,主页面,新东家主页面,,d1_owner_home.html
D1-1,未绑定团队长空状态页,新东家,状态页,空状态,,d1-1_owner_no_leader.html
D1-2,上级非团队长提示页,新东家,状态页,提示页,,d1-2_owner_parent_not_leader.html
D2,输入团队长邀请码页,新东家,表单页,绑定输入,,d2_owner_bind_leader_input.html
D2-1,绑定团队长信息确认页,新东家,确认页,绑定确认,,d2-1_owner_bind_leader_confirm.html
D2-2,绑定团队长成功弹窗,新东家,弹窗,成功提示,,d2-2_owner_bind_leader_success.html
D3,我的团队长列表页（新东家）,新东家,列表页,团队长列表,,d3_owner_leader_list.html
D4,团队长详情页（新东家）,新东家,详情页,团队长详情,,d4_owner_leader_detail.html
D5,申请团队长代打赏表单页,新东家,表单页,代打赏申请,,d5_owner_apply_reward_form.html
D5-1,确认申请团队长代打赏页,新东家,确认页,确认申请,,d5-1_owner_apply_reward_confirm.html
D5-2,申请团队长代打赏成功弹窗,新东家,弹窗,成功提示,,d5-2_owner_apply_reward_success.html
D6,代打赏团队长输入金额页,新东家,表单页,输入金额,,d6_owner_reward_leader_form.html
D6-1,代打赏团队长信息确认页,新东家,确认页,确认代打赏,,d6-1_owner_reward_leader_confirm.html
D6-2,代打赏团队长订单确认页,新东家,确认页,订单确认,,d6-2_owner_reward_leader_order_confirm.html
D6-3,代打赏团队长提交成功页,新东家,弹窗,成功提示,,d6-3_owner_reward_leader_success.html
D7,新东家代打赏记录总列表页,新东家,列表页,记录列表,,d7_owner_reward_history.html
D7-1,新东家代打赏记录详情页,新东家,详情页,记录详情,,d7-1_owner_reward_detail.html
D8,A8列表页（新东家）,新东家,列表页,A8 列表,,d8_owner_a8_list.html
D8-1,单个A8邀请详情页,新东家,详情页,A8 详情,,d8-1_owner_a8_detail.html
E1,投诉团队长页,通用,表单页,投诉页,,e1_complaint_form.html
E1-1,投诉提交成功弹窗,通用,弹窗,投诉成功,,e1-1_complaint_success.html
E2,输入订单号校验页,通用,表单页,订单校验,,e2_order_verify.html
E3,通用操作确认弹窗,通用,弹窗,操作确认,,e3_common_confirm_modal.html
E4,权限/前置条件不足提示页,通用,提示页,权限不足,,e4_common_permission_denied.html
E5,通用空状态页,通用,状态页,空状态,,e5_empty_state.html
F1,STC挂单首页,STC,主页面,STC市场首页,,f1_stc_market_home.html
F2,STC挂单详情页,STC,详情页,挂单详情,,f2_stc_order_detail.html
F3,取消挂单确认弹窗,STC,弹窗,取消挂单,,f3_stc_cancel_modal.html
F4,创建STC挂单页,STC,表单页,创建挂单,,f4_stc_create_order.html
F5,兑换STC输入页,STC,表单页,兑换输入,,f5_stc_exchange_form.html
F6,兑换STC确认页,STC,确认页,兑换确认,,f6_stc_exchange_confirm.html
F7,兑换STC成功弹窗,STC,弹窗,成功兑换,,f7_stc_exchange_success.html
G1,查看BV共赢计划规则说明页,全角色,说明页,规则说明,,g1_bv_rules.html
G2,首次必须走BV共赢计划提示弹窗,新东家,弹窗,首次提示,,g2_bv_first_time_notice.html
G3,网络错误/系统异常页,通用,错误页,错误页面,,g3_error_page.html
